"","city1_2","flag","flight","flight_total_account","plane","remarks"
"1","南京哈尔滨",2,"3U8839/40",14,"320","或321/319执行"
"2","南京哈尔滨",2,"MF8067/8",14,"738","或B757执行"
"3","南京哈尔滨",2,"MU2701",7,"320","或321/EMB执行"
"4","哈尔滨南京",2,"MU2702",7,"320","或321/EMB执行"
"5","南京哈尔滨",2,"ZH9817",7,"738",NA
"6","哈尔滨南京",2,"ZH9818",7,"738",NA
"7","大连西安",3,"CZ6423/4",14,"319","或321执行"
"8","大连西安",3,"CZ6433/4",14,"319","或321执行"
"9","西安大连",3,"GS7401/2",14,"E90","或ERJ145执行"
"10","大连西安",3,"HU7687",7,"738",NA
"11","西安大连",3,"HU7688",7,"738",NA
"12","西安大连",3,"MU2297",7,"320",NA
"13","大连西安",3,"MU2298",7,"320",NA
"14","西安大连",3,"ZH9383",7,"320","或738/733执行"
"15","大连西安",3,"ZH9384",7,"320","或738/733执行"
"16","义乌广州",6,"CZ3309/10",14,"733","或738执行"
"17","义乌广州",6,"CZ3727/8",14,"733","或738执行"
"18","义乌广州",6,"CZ3795/6",14,"733",NA
"19","义乌广州",6,"CZ3883/4",14,"733",NA
"20","义乌广州",6,"CZ3885/6",14,"733","或738执行"
"21","广州福州",7,"CZ3505/6",14,"319","或321/320/738执行"
"22","广州福州",7,"CZ3647/8",14,"319","或321/320/738执行"
"23","广州福州",7,"CZ3649/50",14,"319","或321/320/738执行"
"24","广州福州",7,"CZ3689/90",14,"319","或321/320/738执行"
"25","广州福州",7,"CZ3877/8",14,"319","或321/320/738执行"
"26","广州福州",7,"HU7373/4",14,"738","或B733/B734执行"
"27","福州广州",7,"MF8325",7,"752","或B737执行"
"28","广州福州",7,"MF8326",7,"752","或B737执行"
"29","广州福州",7,"MF8329/30",14,"738","或B757执行"
"30","广州福州",7,"MF8347/8",14,"738","或B757执行"
"31","西安沈阳",8,"9C8951/2",14,"320",NA
"32","沈阳西安",8,"CZ6401/2",14,"M90","或321/319/320执行"
"33","沈阳西安",8,"CZ6469/70",14,"319","或321/320/M90执行"
"34","西安沈阳",8,"CZ6515/6",28,"320",NA
"35","西安沈阳",8,"HU7875",7,"738",NA
"36","沈阳西安",8,"HU7876",14,"737",NA
"37","西安沈阳",8,"MU5729/30",14,"73G","或733执行"
"38","沈阳西安",8,"ZH9447/8",6,"320",NA
"39","沈阳西安",8,"ZH9449",4,"320","或738/733执行"
"40","西安沈阳",8,"ZH9450",4,"320","或738/733执行"
"41","重庆兰州",9,"HU7073",7,"733","或B734/B738执行"
"42","兰州重庆",9,"HU7074",7,"733","或B734/B738执行"
"43","重庆兰州",9,"SC4811/2",14,"738","或B733执行_x005F_x000D__x000D_
HD[2011]826_x005F_x000D__x000D_
HD[2011]1024"
"44","杭州郑州",10,"3U8953/4",14,"320","或321/319执行"
"45","郑州杭州",10,"CZ3745/6",14,"733",NA
"46","郑州杭州",10,"CZ3839/40",14,"733",NA
"47","郑州杭州",10,"CZ3939/40",14,"738",NA
"48","郑州杭州",10,"CZ3981",4,"738","或73G执行 执行日期0901-1029执行"
"49","杭州郑州",10,"CZ3982",4,"738","或73G执行 执行日期0901-1029执行"
"50","郑州杭州",10,"CZ6565/6",4,"733",NA
"51","郑州杭州",10,"MF8361/2",14,"738","或B757执行"
"52","杭州郑州",10,"MF8369/70",14,"73G","或B757执行"
"53","郑州杭州",10,"MU5379/80",14,"320","HD［2011］1047"
"54","郑州杭州",10,"VD8309/10",14,"E90",NA
"55","昆明贵阳",11,"3U8941/2",14,"320","或321/319执行"
"56","昆明贵阳",11,"8L9983",7,"73G","或319执行"
"57","贵阳昆明",11,"8L9984",7,"73G","或319执行"
"58","贵阳昆明",11,"CA1751",7,"319","或A320执行"
"59","昆明贵阳",11,"CA1754",7,"320",NA
"60","贵阳昆明",11,"CZ3423/4",14,"73G","或738执行"
"61","贵阳昆明",11,"CZ3665/6",14,"73G",NA
"62","昆明贵阳",11,"KY8011/2",14,"73G",NA
"63","昆明贵阳",11,"KY8087/8",6,"737",NA
"64","昆明贵阳",11,"MU2577",7,"CR2","或73G/733执行"
"65","贵阳昆明",11,"MU2578",7,"CR2","或73G/733执行"
"66","长沙三亚",12,"BK2887",7,"738",NA
"67","三亚长沙",12,"BK2888",7,"738",NA
"68","长沙三亚",12,"CZ3643/4",8,"320","或321执行 执行日期0620-1029执行"
"69","长沙三亚",12,"CZ6719/20",6,"320",NA
"70","三亚长沙",12,"HU7023",4,"738","或B734/B733执行"
"71","长沙三亚",12,"HU7023/4",12,"737",NA
"72","长沙三亚",12,"HU7024",4,"738","或B734/B733执行"
"73","长沙三亚",12,"JD5179/80",14,"319","或320执行 旅游包机"
"74","长沙三亚",12,"MU2275",7,"73G","执行日期1001-1029执行_x005F_x000D__x000D_
取消：1001-1029"
"75","三亚长沙",12,"MU2276",7,"73G","执行日期1001-1029执行"
"76","长沙三亚",12,"ZH9157/8",14,"320",NA
"77","烟台成都",13,"SC4743/4",4,"73G",NA
"78","贵阳成都",14,"3U8611/2",14,"321",NA
"79","成都贵阳",14,"3U8639/40",8,"319",NA
"80","贵阳成都",14,"3U8675/6",14,"ERJ","或321/320/319执行"
"81","贵阳成都",14,"CA4435/6",14,"733",NA
"82","贵阳成都",14,"CZ3671/2",8,"738","或73G执行"
"83","贵阳成都",14,"CZ3693/4",14,"73G","或738执行"
"84","贵阳成都",14,"CZ3767/8",14,"73G","或738执行"
"85","成都贵阳",14,"EU2731/2",14,"319","或A320执行"
"86","贵阳成都",14,"G52613/4",8,"CR2",NA
"87","烟台广州",15,"SC4897/8",14,"733","或B738执行"
"88","烟台杭州",16,"SC4813",4,"CR2","或B733执行 执行日期0701-0831执行_x005F_x000D__x000D_
HD[2011]1024"
"89","杭州烟台",16,"SC4814",4,"CR2","或B733执行 执行日期0701-0831执行"
"90","杭州烟台",16,"SC4885/6",14,"737","或B738执行"
"91","合肥北京首都",17,"CA1255/6",14,"738",NA
"92","合肥北京首都",17,"CA1543/4",14,"738",NA
"93","合肥北京首都",17,"CA1579/80",14,"320",NA
"94","合肥北京首都",17,"CA1835/6",14,"738",NA
"95","合肥北京首都",17,"CA1843/4",14,"738",NA
